Pregunta,Respuesta,Etiqueta
"¿Dónde podemos encontrar información sobre el Conde Drácula?","Las facturas de compra y la libreta de cheques pueden contener información relevante sobre el conde Drácula. El plan es registrar su casa de Piccadilly para obtener dichas evidencias.","Ubicación"
"¿Cómo planearían entrar en la casa de Piccadilly?","El grupo planea entrar a la casa por medio de una efracción si es necesario. No tienen una llave para la casa.","Método entrada"
"¿Cómo justificaría el grupo a la policía para entrar en la casa?","El plan es que Arthur suplanta a Drácula y contrata un cerrajero legítimamente. La policía no intervendrá si cree que el propietario está llamando al cerrajero.","Justificación"
"¿Qué historias ha leído Arthur para desarrollar su plan de entrada?","Arthur ha leído una historia sobre un ladrón que entró en una casa cerrada y posteriormente vendió todos los bienes, incluida la misma casa, sin ser detenido por las autoridades. Su plan consiste en que Arthur suplante a Drácula e invite a un cerrajero, que así no interrumpan.","Referencia"
"Quién ofrece su ayuda a la parte de Jonathan Harker y qué pasa en el interior de la casa?","Lord Godalming se ofrece a la parte de Jonathan Harker y se planea mantener las investigaciones dentro de la casa mientras Van Helsing y otros visitan otras ubicaciones con cajas de tierra.","Ayuda/Interior"
"¿Qué argumenta Quincey contra el uso de vehículos propiedad de Drácula?","Quincey sugiere que el uso de vehículos propias del conde podría llamar demasiada atención.","Sugerencias/Vehículos"
"¿Qué decisión final toman los personajes para destruir el refugio de Drácula?","Se decide que antes de ir a Piccadilly, se debe destruir el refugio que tiene el Conde cerca de allí para estar adelantados en el trabajo de destrucción si se le den cuenta pronto.","Decisión"
"¿Qué sugerencia hace Van Helsing sobre la disposición de las fuerzas?","Van Helsing sugiere que después de su visita a Carfax, todos debían entrar a la casa de Piccadilly; los dos doctores y Quincey permanecerían allí, mientras que Godalming y él iban a buscar y destruir los refugios de Walworth y Mile End.","Sugerencia/Disposición"
"¿Qué argumenta Mina para justificar su deseo de trabajar con el grupo?","Mina sostiene que está decidida a trabajar juntos y que es su última esperanza que pudan enfrentarse al monstruo y encontrar consuelo en ello.","Motivación/Esperanza"
"¿Qué pasa después de la referencia al gran banquete que el Conde Drácula ha tenido?","El conde dormirá hasta una hora muy avanzada debido al gran banquete que acabó el día anterior.","Banquete/Descanso"
"¿Qué comida se sirve en el desayuno?","El desayuno es extraño para todos.","Desayuno"
"¿Qué dice Van Helsing a sus amigos antes de marcharse para emprender su tarea?","Van Helsing pide que estén armados contra los ataques físicos y espirituales antes de marcharse.","Preparativos/Encouragement"
"Qué cosa queda en la frente de Mina para protegerla?","Un fragmento del Santísimo Sacramento se coloca sobre el frente de Mina para protegerla.","Protección/Religión"
"¿Qué reacción provoca la acción de Van Helsing en Mina?","Mina sufre un grave dolor y una reacción terrible cuando Van Helsing coloca el fragmento de la Sagrada Hostia sobre su frente.","Reacción/Shock"
"¿Qué reacciona Mina cuando Van Helsing le coloca la Hostia sobre su frente?","Mina experimenta una terrible herida y reacción de humillación al verse marcada con el Santo Sacramento.","Reacción/Shame"
"¿Qué esperanza encuentra Mina en las palabras de Van Helsing?","Van Helsing ofrece esperanza a Mina al decir que la marca desaparecerá cuando Dios lo disponga.","Esparanza/Encouragement"
"¿Qué se decide Van Helsing respecto a Mina?","Van Helsings decide que si Mina resulta ser un vampiro, no debería ir sola a la tierra de los vampiros.","Decisión/Preparativos"
"Qué descubre el grupo en la casa de Carfax?","La casa de Carfax parece estar intacta y está llena de objetos sagrados que podrían ser utilizados para derrotar al vampiro.","Descubrimientos/Casa"
"Cómo se utiliza el espacio interior de las cajas para completar este ritual?","Los profesores llenan el interior de cada una de las grandes cajas con un pedazo de la Hostia Sagrada antes de sellarlas nuevamente.","Espacio interior"
"Qué pasa después que los profesores finalizan el trabajo con las cajas?","Después de llenar el interior de cada caja con una Hostia y sellarlas, el grupo sale de la habitación para continuar con otras tareas.","Trabajo concluido"
"Qué es el último destino del tren que tomaran Quincey y lord Godalming?","Los destinos de Quincey y lord Godalming son desconocidos, ya que no se menciona nada más sobre su partida.","Destino desconocido"
"¿Qué tipo de casa es la que van a buscar los tres hombres?","Se desconoce si es una vivienda ocupada o vacía.","Tipo de vivienda desconocido"
"Qué tipo de vehículo llega Quincey?","Un coche de cuatro ruedas llega para trasladar a Quincey desde el puerto.","Vehículo de transporte"
"Qué tipo de persona es el hombre que los ayuda a entrar en la casa?","Es un trabajador vestido con ropas de trabajo que se encarga del servicio.","Persona que facilita el ingreso"
"Qué se ha producido dentro de la casa al entrar?","Los hombres han abierto la puerta para Quincey y encuentran una atmósfera desagradable e impresionante.","Acciones dentro de la casa"
"Cuán grandes son las casas de Klausenburg?","Las casas de Klausenburg poseen un tamaño considerable y están rodeadas por muros de piedra.","Tamaño de Casas"
"En qué habitaciones examinaron los buscadores?","Los buscadores inspeccionaron todas las habitaciones del comedor a partir de la planta baja hasta el ático.","Lugar de Busqueda"
"Cuál es el objetivo oculto que sigue el Profesor Seward?","El objetivo del Dr. Seward consiste en mantener a los hombres ocupados para evitar que Jonathan Harker se arroje al suicidio o que regrese con el Conde Drácula.","Objetivos"
"¿Qué se desespera Jonathan Harker?","Jonathan Harker se desespera por estar retenido en Londres, condenado a permanecer lejos de sus obligaciones y su amada fiancée, Mina.","Problema de Jonathan"
"¿Qué conocimiento sobre el Conde Drácula revela el Profesor Seward?","El Profesor Seward ha estado estudiando documentos sobre el Conde Drácula y encuentra sus poderes y su conocimiento impresionantes.","Conocimiento del Conde"
"¿Qué espera el Profesor Seward del Conde Drácula?","El Profesor Seward espera que el Conde Drácula siga experimentando sus poderes, lo que le permitirá encontrar debilidades que pueden ser explotadas.","Expectativas de El Profesor"
"¿Qué nueva habilidad adquirió el Conde Drácula?","El Conde Drácula ha estado desarrollando su cerebro infantil y comenzó a mover cajas solos para entrar en edificios sin ayuda de nadie.","Nueva habilidad"
"¿Qué método de entrada del Conde Drácula fue desvelado por Abraham Van Helsing?","Abraham Van Helsing deduce que, aunque el Conde Drácula puede entrar tantas veces como le plazca en un edificio, al principio solo lo puede hacer si alguno de sus habitantes lo invita. Sin embargo, el Conde Drácula también ha estado desarrollando sus habilidades físicas y ahora puede mover grandes cajas para entrar sin ayuda.","Nuevo método de entrada"
"Qué tumbas ocultas tiene el Conde Drácula?","El Conde Drácula ha enterrado sus escondrijos de tal forma que solo él sabe donde se encuentran y se puede mantener oculto. Sin embargo, todos los escondrijos excepto uno han sido esterilizados y estarán vacíos antes del anochecer.","Ocultas tumbas"
"¿Cuál es el día que designan para derrotar a Drácula?","Se designó al día como 'nuestro día' y deben estar avanzando con los planes para derrotarlo, con Arthur e Quincey en camino para unirse a Abraham Van Helsing y Jonathan Harker.","Día designado"
"¿Qué mensaje recibe Arthur e Quincey en el telegrama?","El telegrama enviado por Mina advierte de que Drácula ha salido rápidamente de Carfax y está haciendo una ronda. Es posible que busque encontrarse con Abraham Van Helsing, Jonathan Harker e Lucy.",,"Información relevante"
"¿Cuál es el tiempo en que se sale del edificio Carfax?","El Conde Drácula sale del edificio Carfax a las 12:45 de la noche.","Salida de Carfax"
"Qué deseos expresa Jonathan Harker?","Jonathan Harker se preocupa por la seguridad y desea eliminar a Drácula. Él está listo para sacrificar su alma para conseguirlo.","Deseos de Jonathan Harker"
"¿Qué instrucciones recibe el equipo sobre el momento exacto de atacar a Drácula?","Abraham Van Helsing instruye al equipo que, mientras Drácula se encuentra limitado por la luz del día, no pueden atacarlo hasta que esté listo.",,"Instrucciones"
"¿Cuál es el momento exacto en que llega Arthur y Quincey?","Lord Arthur y Quincey Morris llegaron al vestíbulo de la casa a media hora después del recibir el telegrama de Mina.","Arrivo de lord Arthur e Quincey"
"¿Qué estado están todos en este momento?","Todos están listos para entrar en batalla y esperan que el Conde Drácula llegue antes que ellos.","Estado de los personajes"
"¿Qué pasó con las cajas?","Lord Arthur e Quincey han destruido todas las casas del Conde Drácula y sus escondrijos.","Destrucción de las casas"
"¿Qué motivó a Drácula para cruzar el río hacia Bermondse?","El Conde Drácula se dirige al lugar donde menos puede ser detenido, siguiendo la pista que había dejado en Carfax. Los personajes estaban presentes en Bermondse antes que él.","Motivación de Drácula"
"Cómo llega el Conde Drácula a Klausenburg?","El Conde Drácula llega a Klausenburg para reunirse con Jonathan Harker.","Llegada/Arribo"
"¿Qué se prepara el Conde Drácula para la reunión con Jonathan Harker en Klausenburg?","El Conde Drácula se preparó para una sorpresa o temía ser sorprendido por alguien.","Preparación/Sorpresa"
"¿Qué ocurre cuando el Conde Drácula llega a la casa?","El conde es atacado por los hombres que están esperándolo y sus armas.","Ataque/Combate"
"¿Qué reacciona el Conde Drácula cuando Harker le lanza un ataque?","El conde se defiende de la agresión y usa sus poderes para atemorizar a los atacantes.","Defensa/Temor"
"¿Qué huye el Conde Drácula después de ser atacado por los hombres?","El Conde Drácula se escapa tras romper una ventana y desaparecer entre los caballos.","Escape/Huida"
"¿Qué planea el Conde Drácula como venganza contra los hombres?","El Conde Drácula planea vengarse de sus enemigos y reclamar a las mujeres que aman.","Venganza/Amenazas"
"¿Qué hace Van Helsing y el profesor después de perseguir al vampiro?","Van Helsing y el profesor regresan a la casa con tristeza, ya que no han podido encontrar rastro del Conde Drácula.","Conclusión/Regreso"
"¿Qué espera la señora Harker al regresar a su casa?","La señora Harker espera encontrarse con su esposo, pero encuentra a los hombres preocupados por el paradero de este y está obligada a regresar a Londres para protegerla.","Regreso/Esperanzas"
"¿Qué sucede al regresar a casa?","La señora Harker se reúne con sus esposos y le relatan todo lo que ha ocurrido. Aunque queda triste por el peligro en que quedó su marido, también siente orgullo y alegría por la devoción demostrada hacia ella.","Regreso/Relato"
"¿Qué pasa al final?","La señora Harker muestra su apoyo a su marido y a los demás, manteniendo la calma y la fe en medio de todo. Después de escuchar el relato completo del Conde Drácula y sus acciones, ella se pone en pie para hablar con ellos.","Fin/Fidelidad"
"¿Qué finalmente decía a sus amigos?","La señora Harker exhorta a sus amigos a luchar contra el vampiro pero también mostrar compasión hacia él. Ellos deben destruir al conde pero sin ódio, para que la buena parte de su alma pueda vivir después de su muerte.","Mensajes/Orden"
"¿Qué pensaba la señora Harker al final?","La señora Harker recordó lo que el conde le había dicho sobre no desparramar símbolos y mostrar piedad hacia su alma, aunque sean destruidos. También recordó el dolor que habría sentido si le hubiera negado la misericordia a su esposo, ya que él pudo ser un día una víctima similar.","Pensamientos/Victoria"
"¿Qué deseos menciona Mina en este pasaje?","Mina desea que ninguna persona considere sus palabras como una 
seña de cobardía. También suplica a Dios para dejar que los cabellos blancos de Jonathan sea un testimonio de 
sus padecimientos, ya que él ha vivido sin causar daño a nadie y ha atravesado muchas tristezas.","Deseos"
"Qué horas está hablando Quincey y Godalming en este pasaje?","Quincey se ha acostado ya, debido a que tiene el segundo turno de guardia.","Horario/Turnos de guardia"
"Qué sentimiento describe Jonathan Harker acerca de su esposa?","Jonathan Harker se siente profundamente enamorado y herido por su esposa, cuya piedad hace que incluso el miedo al vampiro parezca insignificante.","Sentimiento/Amor"
"¿Qué está pensando Jonathan Harker al final del pasaje?","Jonathan Harker piensa que su esposa está dormida y reflexiona sobre su amor por ella. Luego se cansó y fue a dormir. Mina le despertó más tarde, con una expresión de sorpresa en el rostro y sin recordar haber hablado.","Pensamientos"
"Qué acción toman los personajes al final del pasaje?","Mina le susurra un gracias a Dios por todos los hombres buenos. Luego, ambos regresan a dormirse. Jonathan también escribe esto en su diario para que tenga algo que ocupar su mente y poder dormir.","Acción"
"¿Qué deseo de Mina conduce a los eventos al final del pasaje?","Mina desea ser hipnotizada por Van Helsing antes del amanecer para poder hablar. Ella siente que tiene una idea importante y necesita revelarla a sus compañeros, pero no puede hacerlo sin el hipnosis de Van Helsing.","Deseos"
"Qué sucede entre Mina y el profesor Seward en este momento?","El profesor Seward se reúne con Mina para ayudarla. Hipnotiza a Mina para que pueda revelar lo ocurrido mientras estaba secuestrada por Drácula.","Momento crítico"
"Cuál es la apariencia que adquiere Mina tras ser hipnotizada?","Después de la hipnosis, Mina parece un ser vacío, con una mirada perdida y una voz triste.","Transformación"
" ¿A dónde se refiere Mina al 'lugar desconocido' cuando responde al profesor?","Mina habla sobre el 'lugar desconocido' mientras se encuentra bajo la influencia de Drácula.","Ubicación desconocida"
"¿Qué significado tiene para Mina estar en un barco?","El hecho de que Mina se refiera a su ubicación como un barco podría indicar la sensación de sentirse arrastrada, vulnerables y desconocidos que experimenta bajo el control de Drácula.","Barco/Sentido de inseguridad"
"¿Qué información nuevo se obtiene de la conversación entre Mina y el profesor?","La conversación confirma que Drácula ha abandonado Transilvania y está en Londres. También indica que hay muchos barcos que pueden ser el de interés, lo que complica el proceso de búsqueda.","Información nueva"
"Qué planes tiene Drácula tras escapar de Transilvania?","Drácula siente que Londres es un lugar peligroso para él y planea escapar nuevamente si su barco atraca allí.","Plan de escape"
"Qué esperanza mantiene Mina que el monstruo esté alejado?","Mina espera que el monstruo se halle lejos de ellos para poder dormir y vestirse tranquilamente.","Esperanzas"
"¿Qué le informó el Profesor a Jonathan Harker para que quedara con Mina?","El profesor advierte a Jonathan Harker de que no podrá salir por el día ya que se van a ocupar de la investigación y recomienda que quede con Mina.","Información al Harker"
"¿Qué es la última intención de Drácula antes de partir?","La última intención de Drácula es regresar a su hogar.","Objetivo final"
"¿Qué esperanza renovada consuela a los protagonistas?","La esperanza renovada es que pueden seguir luchando contra Drácula y eventualmente vencerlo.","Esperanzas"
"Qué pensamiento permanece presente en las mente de Mina y Jonathan?","Los pensamientos permanentes son el temor de quedarse inactivos.","Pensamientos"
"¿Qué rumbo esperan seguir los protagonistas para rastrear al Conde?","Los protagonistas planearon seguir el barco del conde Drácula para rastrearlo.","Rutas de investigación"
"De dónde parten hacia Transilvania Jonathan Harker y sus acompañantes?","Desde Viena, los viajes de Jonathan Harker y sus acompañantes parten hacia Transilvania.","Salida de Viena"
"¿Qué nombre tiene el barco que va a Varna desde Doolittle Wharf?","El barco Czarina Catherine es el que viaja desde Doolittle Wharf hasta Varna y, luego, remontará el Danubio.","Barco de la búsqueda"
"Qué información consigue Jonathan Harker de los hombres en la oficina de Doolittle?","Jonathan Harker obtiene información sobre el barco Czarina Catherine, incluido que llegó un hombre con apresuramiento anoche para embordarlo.","Obtención de información"
"¿Qué se observa acerca del hombre alto que llegó al puerto?","El hombre alto llevaba un sombrero de paja y vestía todo de negro, distribuía su dinero para saber si había algún barco hacia el Mar Negro y tenía una gran caja que llevaba a bordo. Se indicó a alguien dónde encontrar una carreta con caballo.","Hombre del muelle"
"¿Qué instrucciones da el hombre alto al capitán acerca de cómo colocar la caja a bordo?","El hombre alto da varias indicaciones al capitán sobre cómo debe colocar su gran carga en el barco. El capitán rechaza sugerencias, pero también promete que embarcará antes de aparejarse.","Instrucciones para el capitán"
"¿Qué ocurre al capitán cuando el barco Czarina Catherine está a punto de partir?","El capitán maldice al hombre alto y la niebla cubre el barco, pero cuando termina la bruma el conde reaparece para verificar que su caja esté a bordo.","Niebla/Captain"
"¿Qué pasa cuando finaliza la bruma?","La niebla se levanta y el capitán puede ver de nuevo. El hombre alto baja para comprobar que su carga está a bordo.","Fin de la Bruma/Capitán"
"¿Qué ciudad llegará Jonathan Harker para encontrarse con Drácula?","Jonathan HARKER llegará a Varna para entregar la caja al agente Ristics.","Ciudad de encuentro"
"¿Qué objetivo principal tienen los protagonistas en Transilvania?","Los protagonistas planean llegar a Drácula mientras viaja en barco, con la intención de llevarlo de regreso a Londres para tratarlo de manera justa.","Objetivos"
"¿Qué prueba confirmó el doctor van Helsing de que Drácula se quedó a bordo del barco?","Drácula admitió durante un trance hipnótico estar a bordo del barco.","Confirmación de presencia"
"¿Qué razón dan los protagonistas por seguir a Drácula?","Los protagonistas buscan librarse de la amenaza que Drácula representa para el bien de toda la humanidad, y no pueden dejarlo escapar.","Motivos de persecución"
"¿Qué motivos presenta el doctor van Helsing para seguir a Drácula?","El doctor van Helsing busca detener el mal que Drácula representa para la humanidad, y no puede abandonarlo.","Motivos"
"¿Qué razones presenta el doctor van Helsing para buscar a Drácula?","El doctor van Helsing cree que la presencia de Drácula representa una grave amenaza para la humanidad y que no puede permitirse que siga causando mal.","Razones"
"¿Qué argumentos presenta el doctor van Helsing para detener a Drácula?","El doctor van Helsing cree que la existencia de Drácula es una blasfemia contra Dios y que está dispuesto a redimirlo por voluntad propia o forzoso.","Argumentos"
"¿Qué analogía utiliza el doctor van Helsing para describir a Drácula?","El doctor van Helsing compara la persistencia de Drácula con la de un tigre que sigue acechando a sus presas.","Analogía"
"¿Qué ciudades visitó Jonathan Harker y en qué orden?","Jonathan Harker visitó Viena y Budapest. Llegó a Budapest tarde y pasó la noche allí. Después viajó hacia Klausenburg, donde pasó la noche, antes de partir para Transilvania.","Rutas/Ciudades"
"Qué creía Mina cuando salió de una tumba olvidada?","Mina creía que podría hacer grandiosas cosas cuando se abriera el ancho mundo del pensamiento a ella. Estaba impresionado por su cerebro y su capacidad para superar la muerte. Sin embargo, la humanidad veía el peligro en sus acciones y decidió librarse de él.","Pensamientos/Creencias"
"¿Qué es el plan de los científicos?","Los científicos se reúnen para discutir sus sospechas sobre el Conde Drácula y decidir una acción que debiera llevarse a cabo. Deciden no hacer nada aquella noche y reunirse nuevamente al desayuno del día siguiente.","Plan"
"¿Cómo describe el narrador su sensación de paz y descanso?","El narrador describe sentir una maravillosa paz y descanso esta noche, como si una presencia espectral fuera retirada de él.","Paz/Descanso"
"¿Cuál es la creencia de Jonathan Harker sobre sí mismo?","Jonathan Harker cree que su cerebro y capacidad para superar la muerte le permitirá hacer grandes cosas. Sin embargo, la humanidad se opone a él debido a los riesgos que plantea.","Autoestima"
"¿Qué ocurren tras la reunión de los científicos?","Los científicos discuten sus sospechas sobre el Conde Drácula y deciden no hacer nada esa noche, volviendo a reunirse al desayuno del día siguiente para decidir una acción determinada.","Decisiones"
"¿Qué esperanza revive entre los personajes después de la reunión?","Los personajes se sienten revividos y descansados después de la reunión, y están decididos a tomar acciones para enfrentar el peligro que representa el Conde Drácula.","Esperanzas/Revividas"
"¿Qué dificultad percibe Drácula?","La única dificultad que Drácula ve es la posible resistencia de Mina y su lengua, por ser ella una señora de gran inteligencia. Sin embargo, también le preocupan las conclusiones de Harker, Seward y Van Helsing y los planes para defender a Lucy desde él.","Dificultades/Problemas"
"¿Qué revelación guarda Mina?","La razón por la que Mina ha estado silenciosa es porque sabe que tiene una idea para vencer al Conde Drácula. Sin embargo, ella y Van Helsing prefieren mantenerla en secreto hasta que sean seguros de que todos están de acuerdo con sus planes.","Revelación/Secretos"
"¿Qué es el temor que expresa el profesor sobre la situación?","El profesor tiene cierto temor porque está segura de que hay una idea clave para vencer al Conde Drácula, pero ella y Van Helsing prefieren mantenerla en secreto hasta que sean seguros.","Temores"
"¿Qué se nota acerca de Mina?","Se nota que la personalidad de Mina está cambiando hacia algo más vampírico: su rostro muestra un ligero aspecto sanguinário y sus ojos son más duros. Además, mantiene silencio como hizo Lucy durante el trance hipnótico. El temor del profesor es que ella pueda revelar lo que ve cuando escriba.","Personajes/Cambios"
"¿Qué es la tarea de los personajes?","La tarea de los personajes es prevenir el avance de Mina hacia la transformación en vampiro y encontrar una manera de salvarla antes de que sea tarde. Su misión es más difícil que nunca debido a los cambios en su personalidad.","Misión/Objetivos"
"¿Qué hace el conde para mantenerse informado sobre Mina Murray?","El conde pretende mantenerse informado sobre la mujer Mina Murray, a quien se enamora y desea su sangre. Para ello, le hace beber su propia sangre para hipnotizarla y poder revelarle sus pensamientos.","Mantenimiento información"
"¿Qué hacería Mina para no revelar la información?","Mina Murray se mantendría callada para evitar desvelar lo que no conocía. El Conde Drácula intentaba hipnotizar a Mina para revelar sus pensamientos, pero el Profesor y Jonathan Harker decidieron mantenerla alejada de ellos durante la reunión para garantizar su seguridad.","Evitar revelación"
"¿Qué razones dan los participantes para justificar la necesidad de viajar rápidamente a Varna?","La presencia del Conde Drácula obligó a los miembros de la expedición a ir rápidamente a Varna, ya que había abandonado Rusia y estaba cerca de llegar allí, y también porque el tiempo que pasaba en Transilvania era peligroso para las personas de allí.","Motivos viaje"
"¿Qué recomienda Quincey Morris como armamento contra un peligro de lobos?","Quincey Morris sugirió llevar fusiles Winchester para enfrentarse a posibles ataques de lobos.","Armamento"
"¿Qué recomienda Quincey Morris para la defensa contra el conde?","Quincey Morris sugirió llevar fusiles Winchester como defensa contra el conde y sus seguidores.","Defensa contra enemigo"
"Qué razones tiene Jonathan para estar preocupado por Mina?","Jonathan Harker está preocupado porque Mina ha decidido no participar en las discusiones sobre la defensa y porque los demás lo toman mal. Él se esfuerza por adivinar el motivo de su decisión.","Preocupación"
"Qué promesa pide Mina de Jonathan?","Mina pide a Jonathan una promesa sagrada, que no debes romper, aún si ella arrodilla y implora con lágrimas en los ojos. La naturaleza de la promesa es desconocida.","Promesa"
"Qué promesa hace Jonathan ante Mina?","Jonathan le promete a Mina que no revelará los planes de ella y de su grupo contra el Conde Drácula. La cicatriz en la frente de Mina es símbolo de esta promesa.","Promesa"
"Qué sorpresa le sucede a Jonathan al despertar?","Mina lo despertó temprano y pidió que la llevara a ver al Dr. Van Helsing; él la esperaba ya en su habitación.","Sorpresas/Acontecimientos"
"Qué desea Mina que sean presentes el Dr. Van Helsing y Jonathan?","Mina quiere ir con ellos porque siente más segura con ellos y para garantizar su propia seguridad en el peligro que enfrentan todos juntos.","Presentes"
"Qué dice Mina sobre el papel que podría desempeñar en la misión contra el Conde Drácula?","Mina cree que puede ser una gran ayuda para ellos, ya que el Dr. Van Helsing puede hipnotizarla y ella podría revelar información sin conocerla de antemano.","Utilidad"
"Cuál es la nueva información revelada por Mina?","Mina desea ir con los hombres a Varna ya que sabe que el Conde Drácula estará allí. Ella cree que puede ser útil para ellos y podría hipnotizarla para hacerle revelar información. El grupo decide actuar inmediatamente al llegada del barco en Varna.","Nueva Información"
"¿Qué es el plan para encontrar la caja del Conde Drácula?","Los planes para localizar la caja del Conde Drácula incluyen tomar un barco, sujetando una rama de rosal silvestre sobre ella y abriéndola cuando tengan una oportunidad segura para hacerlo.","Plan para localizar"
"Qué se preparan los personajes para enfrentar al Conde Drácula?","Los preparativos para enfrentarse a Drácula incluyen estar armados, mantener todas las cosas listas y dedicar el día actual a ponerlas en orden.","Preparación"
"Qué disposiciones hace Arthur antes de partir?","Antes de partir, Arthur prepara todos sus asuntos y realiza un testamento nombrando a Mina como heredera. Si ella no sobrevive, entonces serán sus amigos los que heredarán.","Disposiciones"
"Qué tiene Jonathan Harker que hacer con respecto a sus registros?","Jonathan Harker le pide al doctor Seward que tome nota de lo que ocurre, ya que no está en condiciones de hacerlo él mismo.","Registros"
"Qué características exhibe la señora Harker en esta noche?","En esta noche, la señora Harker se muestra reprimida y lucha interiormente. Después de regresar el control sobre sí misma, invita a los demás a acercarse, llevándo a su esposo por la mano.","Señora Harker"
"Qué se revela sobre la señora Harker en esta noche?","La señora Harker se muestra reprimida y luchadora interiormente, pero regresa el control. Se dirige a su esposo y llama a todos a sentarse con ella, alegando que estarán juntos de nuevo libremente y quizás por última vez, sabiendo que el día siguiente van a llevar a cabo su tarea.","Señora Harker"
"¿Qué miedo hace que Mina aborre el?","Mina se teme por su muerte o la muerte de los amigos.","Timidez/Fobia"
"¿Qué espera Mina de cada uno de los presentes?","Mina pregunta qué contribución van a hacer cada uno para su causa.","Contribución/Solicitud"
"¿Qué promete Quincey hacer si el plan para salvar a Mina es necesario?","Quincey se compromete a matar a Mina si llega el momento en que ella ya no sea una persona reconocible.","Compromiso/Promesa"
"¿Qué compromiso hace el Drácula con Mina?","El Drácula promete defenderla y matarla si necesario, para protegerla del mal.","Promesa/Compromiso"
"Qué deseo tiene Mina antes de la reunión?","Mina le pide a todos que prometan matarla si ella llega a ser un peligro para sí misma y el mundo.","Deseo/Promesa"
"¿Qué le pide Mina a sus amigos?","Mina le pide a sus amigos que sean preparados para matarla si llega a convertirse en peligro.","Solicitud/Petición"
"¿Qué pasa en la escena que Jonathan Harker describe al final del capítulo?","En el último párrafo del primer capítulo, se relata que Mina y su esposo están siendo consolados por un grupo de amigos en torno a un rito funeral.","Descripción escena"
"¿A dónde parten Jonathan Harker y compañía para Transilvania?","Jonathan Harker y sus acompañantes salen de Charing Cross en París para viajar hacia Transilvania utilizando el Orient Express.","Partida/Ruta"
"¿Qué información da Mina sobre su estado de ánimo y salud?","Mina está recuperándose y dormido casi todo el tiempo. Su condición ha mejorado desde que se recuperó del estado catatónico que había experimentado después de la mordida de Drácula, y parece estar más despierta y alerta durante el atardecer.","Estado/Salud"
"¿Qué es lo que se está esperando de los telegramas que lleguen?","Se espera que los telegramas muestren que la Cruz Roja no ha detectado al navío de la Czarina Catherine. Esto permite a la compañía ser más confiada de que están manteniendo una vigilancia efectiva desde el otro lado de la línea telegráfica.","Expectativas telegramas"
"¿Qué acción planean Van Helsing y sus compañeros?","Los planes de Van Helsing incluyen esperar a que el navío de la Czarina Catherine llegue al puerto y subirse a bordo para abrir su caja y mantener a Drácula encerrado hasta que lo maten. También están dispuestos a sobornar al personal del barco y a los funcionarios públicos.","Plan Van Helsing"
"¿Qué preparaciones han hecho Van Helsing y sus acompañantes?","Van Helsing y sus acompañantes han recibido la permisión del armador para abrir el contenedor en el que se cree que Drácula está encerrado, así como la autorización necesaria para su agente en Varna. Han obtenido el consentimiento de los estibadores y creen estar listos para capturar a Drácula al llegar al puerto con el navío de la Czarina Catherine.","Preparaciones"
"Qué pasará si Drácula es atrapado con vida?","Si Drácula es atrapado con vida, deberán cortarle la cabeza y atravesarle el corazón con una estaca para convertirse en polvo, eliminando así todas las pruebas contra los hombres que actuaron contra él.","Detención/Defensa"
"Qué tan pronto esperan a los protagonistas el regreso de la condesa?","Los protagonistas están muy nerviosos y esperando desde hace una semana el regreso de la condesa Catherine. Cuando reciben sus telegramas, van creyendo que ha sido avistada en los Dardanelos.","Esperanza/Anxiedad"
"Qué estado está en el momento la condesa?","La condesa ha cambiado mucho durante las últimas tres semanas. A pesar de que sus sospechas son solo de que algo no le quede bien, siguen ocultando su información sobre ella a los demás, principalmente para proteger sus sentimientos y evitar la sensación de ruina al pobre Harker.","Estado condesa"
"¿Qué día está el grupo esperando el regreso de la condesa?","El grupo está esperando el regreso de la condesa Catherine desde hace una semana y se encuentran listos para recibirla el 25 de octubre al mediodía.","Esperanza/Preparación"
"¿Qué se preocupan Van Helsing y el doctor Seward por la condesa?","Van Helsing y el doctor Seward están alarmados por el estado de la condesa. Ella está sumida en una especie de letargo hipnótico que no les agrada, aunque siguen manteniendo el secreto y no lo divulgan a los demás.","Preocupaciones/Miedo"
"¿Qué sospechan Van Helsing y el doctor Seward sobre la condesa?","Van Helsing y el doctor Seward sospechan que algo no está bien con la condesa. Ella ha estado sumida en un estado hipnótico durante varios días, aunque se despierta eventualmente, pero siguen alarmados por ella.","Sospechas/Alerta"
"Qué día está actualmente el grupo esperando al barco?","El 27 de octubre y continúan esperando el barco.","Esperanza"
"¿Qué informa la señora Harker sobre las condiciones del mar desde el puerto?","Las olas son suaves, según reportó la señora Harker.","Condición Mar"
"¿Qué informa el telegrama sobre la llegada del barco a Galatz?","La noticia anuncia la llegada de Czarina Catherine al puerto, el 28 de octubre.","Informe"
"¿Qué esperan los personajes al llegar el telegrama?","La noticia del barco llegado a Galatz es una sorpresa para todos.","Expectativas"
"¿Cuál es la hora en que sale el próximo tren para Galatz?","Salirá a las seis y media del día siguiente.","Hora tren"
"¿Qué tareas van a realizar los miembros del grupo antes de partir?","El profesor ordena que Arthur se encargue de las entradas en tren y preparación para salir, Jonathan se dirija al agente del armador para recibir órdenes para el agente en Galatz, Quincey Morris visita al vicecónsul.","Preparativos"
"Qué debe hacer la señora Harker antes de partir?","La señora Harker deberá tratar de ser útil para sus compañeros al escribir y conversar.","Contribución"
